workerid,proliferate.condition,correct_answer,is_correct,prompt,response,response_time_in_seconds,response_type,trial_num,error
15,accidental-1,NA,True,Would you say the following is true?,0.48,4.104,slider,1,
15,accidental-1,['blicket'],True,What is the name of the item you learned about? Please select its name from the options below.,['blicket'],4.114,grid,2,
15,accidental-1,just_arrived,True,Please refer to the image below. How long has this character been doing research on this planet?,just_arrived,5.176,mc,3,
15,accidental-1,no_preknowledge,True,Please refer to the image below. Did this character know that a blicket could have purple petals before you observed it together?,no_preknowledge,6.688,mc,4,
15,accidental-1,NA,True,"In the text box below, please describe briefly what happened in this experiment.","The (dog) researcher had newly arrived on the planet and discovered the bliket.  When he touched it, the covering dropped and a planet was underneath.  It grew purple petals and the researcher was surprised.",67.911,freeform,5,
34,accidental-1,NA,True,Would you say the following is true?,1,4.993,slider,1,
34,accidental-1,['fep'],True,What is the name of the item you learned about? Please select its name from the options below.,['fep'],7.546,grid,2,
34,accidental-1,just_arrived,True,Please refer to the image below. How long has this character been doing research on this planet?,just_arrived,7.708,mc,3,
34,accidental-1,no_preknowledge,True,Please refer to the image below. Did this character know that a fep could have purple petals before you observed it together?,no_preknowledge,5.326,mc,4,
34,accidental-1,NA,True,"In the text box below, please describe briefly what happened in this experiment.",The scientist uncovered the plant and it blossomed purple petals and then they disappeared.,32.087,freeform,5,
17,accidental-1,NA,True,Would you say the following is true?,0.49,9.021,slider,1,
17,accidental-1,['dax'],True,What is the name of the item you learned about? Please select its name from the options below.,['dax'],14.276,grid,2,
17,accidental-1,just_arrived,True,Please refer to the image below. How long has this character been doing research on this planet?,just_arrived,10.955,mc,3,
17,accidental-1,no_preknowledge,True,Please refer to the image below. Did this character know that a dax could have purple petals before you observed it together?,no_preknowledge,9.133,mc,4,
17,accidental-1,NA,True,"In the text box below, please describe briefly what happened in this experiment.","
A new plant with purple flowers has been discovered on a new planet",44.339,freeform,5,
20,accidental-1,NA,True,Would you say the following is true?,1,4.33,slider,1,
20,accidental-1,['blicket'],True,What is the name of the item you learned about? Please select its name from the options below.,['blicket'],4.272,grid,2,
20,accidental-1,just_arrived,True,Please refer to the image below. How long has this character been doing research on this planet?,just_arrived,9.173,mc,3,
20,accidental-1,no_preknowledge,True,Please refer to the image below. Did this character know that a blicket could squeak before you observed it together?,no_preknowledge,5.498,mc,4,
20,accidental-1,NA,True,"In the text box below, please describe briefly what happened in this experiment.",A researcher found a new item named a blicket and found that it squeaks.,22.703,freeform,5,
30,accidental-1,NA,True,Would you say the following is true?,0.44,8.749,slider,1,
30,accidental-1,['dax'],True,What is the name of the item you learned about? Please select its name from the options below.,['dax'],6.199,grid,2,
30,accidental-1,just_arrived,True,Please refer to the image below. How long has this character been doing research on this planet?,just_arrived,9.735,mc,3,
30,accidental-1,no_preknowledge,True,Please refer to the image below. Did this character know that a dax could squeak before you observed it together?,no_preknowledge,7.21,mc,4,
30,accidental-1,NA,True,"In the text box below, please describe briefly what happened in this experiment.","a researcher arrived on a distant planet. He saw a new object, called a dax. When it was unveiled, it squeaked.",34.62,freeform,5,
27,accidental-1,NA,True,Would you say the following is true?,0.34,7.898,slider,1,
27,accidental-1,['fep'],True,What is the name of the item you learned about? Please select its name from the options below.,['fep'],3.562,grid,2,
27,accidental-1,just_arrived,True,Please refer to the image below. How long has this character been doing research on this planet?,just_arrived,5.582,mc,3,
27,accidental-1,no_preknowledge,True,Please refer to the image below. Did this character know that a fep could have purple petals before you observed it together?,no_preknowledge,4.128,mc,4,
27,accidental-1,NA,True,"In the text box below, please describe briefly what happened in this experiment.","A researcher arrived on a planet they had never been to before and encountered a ""fep."" The researcher did not know what a fep was, but then the fep encountered had purple petals.",47.784,freeform,5,
26,accidental-1,NA,True,Would you say the following is true?,0.47,5.454,slider,1,
26,accidental-1,['blicket'],True,What is the name of the item you learned about? Please select its name from the options below.,['blicket'],4.88,grid,2,
26,accidental-1,just_arrived,True,Please refer to the image below. How long has this character been doing research on this planet?,just_arrived,4.605,mc,3,
26,accidental-1,no_preknowledge,True,Please refer to the image below. Did this character know that a blicket could squeak before you observed it together?,no_preknowledge,5.352,mc,4,
